Judul,Harga,Penulis,Diskon
Light Novel : Scarlet,88200,MAMORU HOSODA,10
Light Novel Classroom of the Elite 4.5,88200,Syougo Kinugasa,10
Light Novel: Aku Dimanjakan Tetanggaku yang Seperti Malaikat 3,103500,Saekisan,10
Light Novel Goblin Slayer 3,108000,Kumo Kagyu,10
"Light Novel: The Apothecary Diaries Vol. 01 - Jishi Sama, Premium Package",127500,Hyuganatsu / Touko Shino,25
"Light Novel: The Apothecary Diaries Vol. 01 - Maomao, Special Package",81000,Hyuganatsu / Touko Shino,25
Light Novel Classroom of the Elite 05,88200,Syougo Kinugasa,10
Light Novel The Eminence in Shadow 5,103500,Daisuke Aizawa,10
Light Novel: 5 Centimeters per Second,76500,Makoto Shinkai,10
Light Novel Classroom of the Elite - 2Nd Year 01,88200,Syougo Kinugasa,10
Light Novel: Re:Zero - Starting Life in Another World - 21,88200,Tappei Nagatsuki,10
Light Novel: Gimai Seikatsu 03 - Hari-Hariku Bersama Saki,88200,Ghost Mikawa,10
Light Novel Mushoku Tensei – Jobless Reincarnation 05,103500,Rifujin Na Magonote,10
Light Novel Classroom of the Elite - 2nd Year 02,98000,Syougo Kinugasa,0
Light Novel: Overlord 5 - The Men in the Kingdom Part I,112500,Kugane Maruyama,10
Five Nights at Freddy's Interactive Novel #3: Escape The Piz,238500,SCOTT CAWTHON,10
Light Novel: Lycoris Recoil -Recovery days-,108000,"Asaura, Spider Lily",0
Light Novel: Who Killed The Brave? Chapter of Prophecy,108000,Daken,0
Light Novel: Re:Zero - Starting Life in Another World - 22,98000,Tappei Nagatsuki,0
Light Novel: The Summer Hikaru Died 2,98000,Mio Nukaga,0
Light Novel: Alya Sometimes Hides Her Feeling in Russian 7,108000,Sunsunsun,0
Light Novel My Happy Marriage 6,98000,Akumi Agitogi,0
Menikah Untuk Bahagia - Gold Edition,88200,Indra Noveldy & Nunik Hermawati,10
Dunia Anna (Sebuah Novel Filsafat Semesta),71100,Jostein Gaarder,10
Hujan Bulan Juni Sebuah Novel,43500,Sapardi Djoko Damono,25
Ayok Putus The Novel,89100,ANANDA RYU,10
Setanggi Kopi Petualang Sebuah Novel,120000,EMJI ALIF,0
Aktivitas Anak Muslim: 25 Nabi dan Rasul,51750,Sienta Sasika Novel,25
Imaginary City Graphic Novel,84000,Rain Chudori,30
"The Graphic Novel Percy Jackson & The Olympians, Book 4: The",178200,Hachette Book Group,10
Buku Aktivitas PAUD Belajar Angka dan Huruf Ed Revisi,63000,Sienta Sasika Novel,25
Buku Aktivitas PAUD Seri Belajar Berhitung Penjumlahan Ed Revisi,63000,Sienta Sasika Novel,25
Buku Aktivitas PAUD Seri Belajar Berhitung Pengurangan Ed Revisi,63000,Sienta Sasika Novel,25
Virgin River Novel #1: Virgin River,135000,Robyn Carr,10
23:59 : Sebuah Novel,80100,Brian Khrisna,10
Metamorfosis : Sebuah Novel,28350,Franz Kafka,10
Dunia Sophie Novel Grafis Filsafat: Dari Socrates hingga Galileo,112500,Jostein Gaarder,10
